ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,1e:e8:29:ee:72:33,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,18:e8:29:ed:72:33,ba:fb:e4:c5:d2:73,24:81:3b:50:c9:e1,18:e8:29:ee:72:33,1e:e8:29:e4:3e:31,1e:e8:29:ed:72:33,32:cd:a7:c1:89:0d,34:60:f9:63:80:30,14:cc:20:2c:3d:42,b4:fb:e4:c4:d2:73,c0:25:5c:a3:84:f1,c0:25:5c:a3:84:f0,c0:25:5c:a3:c8:c0,c0:25:5c:a3:c8:c1,00:08:2f:33:a0:91,00:08:2f:33:a0:90,00:08:2f:33:a0:98,00:08:2f:33:a0:95,00:08:2f:33:a0:94,54:b8:0a:10:f6:42,10:b3:d6:07:cd:41,92:8c:c8:40:47:fb,12:e8:a7:a1:61:95,10:b3:d6:07:cd:42,10:b3:d6:07:cd:40,b4:fb:e4:c5:d2:73,ce:80:59:cd:76:6c,10:b3:d6:07:cd:60,10:b3:d6:07:cd:61,c0:25:5c:a3:c8:c2,14:dd:a9:97:ce:58,1e:e8:29:e4:35:72,c2:56:27:c2:67:83,0e:76:84:a5:21:cd,24:81:3b:50:c9:ef,b4:fb:e4:c5:af:1a,24:81:3b:50:c9:ed,24:81:3b:50:c9:ee,24:81:3b:52:ec:6e,24:81:3b:52:ec:6f,ba:fb:e4:c5:af:1a,24:81:3b:52:ec:6d,10:b3:d6:07:cd:62,b8:d4:bc:21:5b:99,34:60:f9:63:7e:de,x,y,theta
-58.0,,-39,-41.0,,-82.0,-58.0,-78.0,,-54.0,-55.0,-54.0,-52.0,-78.0,-53.0,,,-59.0,-58.0,,,,-58.0,,,,-54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0269525972166131,0.1153902469725892,3.180239127758336
-46.0,,-51,-50.0,-66.0,-82.0,-46.0,-66.0,,-46.0,-47.0,-34.0,-47.0,-66.0,-51.0,,,-57.0,-57.0,-67.0,,-67.0,-57.0,-83.0,-83.0,,-36.0,-64.0,-66.0,-91.0,,-67.0,,,,-66.0,-93.0,,,,,,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,2.2594260961820627,-0.9493071646113332,1.506838449811097
-78.0,,-62,-69.0,-87.0,,-78.0,-88.0,-78.0,-68.0,-68.0,-60.0,-68.0,-89.0,-62.0,,,-74.0,-74.0,,,,-74.0,-83.0,-83.0,,-62.0,-77.0,,,,,-81.0,,,,,,,,,,-83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.533805428332836,5.331203049310279,1.6311110635210362
-77.0,,-61,-67.0,-86.0,,-77.0,-88.0,,-68.0,-68.0,-60.0,-68.0,-89.0,-59.0,,,-74.0,-74.0,-65.0,-90.0,-67.0,-73.0,-81.0,-80.0,,-62.0,,-85.0,,,,,,,-87.0,,,,,,-90.0,,,,,,,,,,,,-93.0,,,-93.0,-92.0,,,,,,,,,,,,,,,,,,,,,0.533805428332836,5.331203049310279,1.6311110635210362
-76.0,-69.0,-56,-56.0,,-96.0,-75.0,-87.0,-79.0,-66.0,-67.0,-67.0,-67.0,-88.0,-57.0,,,-64.0,-65.0,-81.0,,-82.0,-64.0,-90.0,-89.0,-72.0,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.427226299658719,3.610514907666256,3.8586349774541535
-75.0,-64.0,-62,-62.0,-83.0,,-75.0,-91.0,-79.0,,,-68.0,,-91.0,-47.0,,,,,,,,,-87.0,-87.0,-65.0,-67.0,,,,,,-85.0,,,,,,,,,-89.0,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017093609423512,6.311300245686593,3.2636484977898657
-48.0,,-67,-61.0,-80.0,-79.0,-48.0,-68.0,-61.0,,,-43.0,,-68.0,-61.0,,,-67.0,-68.0,,,,-67.0,,,,-46.0,-59.0,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6411900151231129,-5.10812839976957,-1.872791679320696
-48.0,-76.0,-50,-55.0,,-85.0,-48.0,-69.0,-59.0,-50.0,-50.0,-33.0,-50.0,-69.0,-63.0,-75.0,-75.0,-44.0,-44.0,,-75.0,,-44.0,-77.0,-77.0,,-33.0,-59.0,,-92.0,-72.0,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9644148230779126,-2.221070097894312,0.4796789727832428
-75.0,-64.0,-62,-62.0,,,-75.0,-91.0,-79.0,,,-69.0,-74.0,-91.0,-45.0,,,-75.0,-75.0,-71.0,,-72.0,-75.0,-87.0,-87.0,-63.0,-67.0,,,,,,-88.0,,,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017093609423512,6.311300245686593,3.2636484977898657
-60.0,-64.0,-64,-77.0,-72.0,,-60.0,-81.0,-65.0,-52.0,-52.0,-50.0,-52.0,-81.0,-68.0,,-96.0,,,-54.0,,-54.0,,-62.0,-62.0,-66.0,-49.0,-65.0,-72.0,,,-80.0,-85.0,,-90.0,-72.0,,,,,,-87.0,-78.0,,,,,,,,,,,,,,,-94.0,-90.0,,,,,,,,,,,,,,,,,,,,3.5619075918904617,8.093308379685054,-0.0151065931306649
-59.0,-79.0,-40,-44.0,,-76.0,-59.0,-75.0,-69.0,-61.0,-61.0,-52.0,-62.0,-74.0,-53.0,-86.0,,,,,-86.0,,-60.0,-89.0,-89.0,-80.0,-54.0,-65.0,,,,-87.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1105520011017816,-0.916206132737322,3.19080624415464
-59.0,,-45,-45.0,-78.0,-82.0,-59.0,-74.0,-66.0,-54.0,-53.0,-53.0,-53.0,-74.0,-57.0,,,-57.0,-57.0,,-84.0,,-57.0,-86.0,-84.0,,-52.0,-69.0,-77.0,,,-78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2070977604640335,0.2459600696471658,-0.3690921216086352
-62.0,,-39,-47.0,,-90.0,-62.0,-78.0,-64.0,-62.0,,-50.0,-61.0,-78.0,-49.0,,,-64.0,-64.0,,-88.0,,-64.0,,,-85.0,-46.0,-62.0,,,,,,,,-70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5783522428319144,-0.9284666403127032,1.5367211802639882
-56.0,,-42,-50.0,-80.0,-82.0,-56.0,-77.0,-67.0,,,,-64.0,-77.0,-61.0,,,-73.0,-73.0,,,,-73.0,,-89.0,,,,,,-69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2964316042993502,-2.464791144631836,0.5700083559431515
-35.0,,-54,-58.0,-63.0,,-35.0,-58.0,-54.0,-59.0,-58.0,-32.0,-58.0,-59.0,-58.0,-90.0,-89.0,,,,,-75.0,,-81.0,-81.0,,-34.0,-53.0,-63.0,-88.0,,-57.0,,,,-62.0,-88.0,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8286861752526,-4.780886396627772,-0.313085456974672
-71.0,-72.0,-65,-64.0,,,-71.0,-84.0,-70.0,-63.0,-63.0,-50.0,-64.0,-84.0,-60.0,-82.0,-87.0,-63.0,-63.0,-51.0,-88.0,-49.0,-62.0,-70.0,-70.0,-71.0,-53.0,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.633959810401504,5.478344312202952,1.6401636415270844
-57.0,,-41,-53.0,-73.0,-82.0,-57.0,-73.0,,,,-50.0,,-74.0,,-94.0,-94.0,-72.0,-73.0,,,,-73.0,,-90.0,,-55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8050807134527205,-2.48539405902682,-1.670480727144363
-48.0,,-51,-55.0,,-85.0,-48.0,-68.0,-58.0,-50.0,-50.0,-33.0,-50.0,-68.0,-63.0,-75.0,-75.0,-44.0,-44.0,,-75.0,,-44.0,-75.0,-75.0,,-33.0,-59.0,-64.0,,,-64.0,,-79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9644148230779126,-2.221070097894312,0.4796789727832428
-56.0,,-42,-52.0,-76.0,-82.0,-56.0,-74.0,,-62.0,,-53.0,,-74.0,-55.0,,,,,,,,,-89.0,-91.0,,-55.0,,,,,-76.0,,,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.8050807134527205,-2.48539405902682,-1.670480727144363
-55.0,,-38,-37.0,,-84.0,-55.0,-81.0,,,,-59.0,,-81.0,-44.0,-87.0,-87.0,-58.0,-58.0,,-86.0,,-58.0,-92.0,-92.0,,-59.0,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0784907416346284,1.1077924134550412,-1.788711422142536
-78.0,-71.0,-56,-68.0,,,-78.0,-91.0,-79.0,,,-69.0,-70.0,-91.0,-46.0,,,-74.0,-73.0,-83.0,,-84.0,-74.0,-79.0,-78.0,-71.0,-68.0,,,,,,-86.0,,,,,,,,,-91.0,-86.0,,,,,,,,,,,,,,,,,-95.0,,,,,,,,,,,,,,,,,,,0.1735314948353283,6.711613078954704,-1.0194080825584446
-62.0,-54.0,-65,-71.0,-71.0,,-62.0,-80.0,-72.0,-56.0,-56.0,-54.0,-57.0,-80.0,-72.0,,,-56.0,-57.0,-55.0,,-55.0,-57.0,-67.0,-67.0,-58.0,-53.0,-69.0,-71.0,,,-84.0,-79.0,,-88.0,,,,,,,-81.0,-80.0,,,,,,,,,,,,-78.0,,,,-89.0,,-97.0,-97.0,,,,,,,,,,,,,,,,,2.8590271847521422,8.866032148361965,1.5759151580153057
-63.0,,-45,-58.0,,-86.0,-63.0,-79.0,-68.0,-63.0,-63.0,-47.0,,-79.0,-61.0,,-85.0,-71.0,-71.0,,,,-71.0,-96.0,-96.0,,-54.0,-67.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.742570045628169,-2.08936749082334,1.503027644730336
-70.0,,-53,-63.0,,-95.0,-70.0,-89.0,,,,,,-88.0,,,,,,-69.0,-94.0,-70.0,,-73.0,-74.0,-73.0,-67.0,,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.572319345407455,5.318137865917259,-1.5591415360657592
-56.0,,-42,-49.0,,-82.0,-56.0,-80.0,,-63.0,-64.0,-60.0,-63.0,-80.0,-42.0,,,-66.0,-66.0,-72.0,,-71.0,-66.0,-92.0,-91.0,,-53.0,,-71.0,,-76.0,,-94.0,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4212920522824184,0.9306734564801178,1.9045103378240729
-56.0,,-52,-67.0,,-74.0,-56.0,-74.0,-63.0,,-67.0,-48.0,-68.0,-74.0,,,,-72.0,-72.0,,,,-72.0,,,,-48.0,-61.0,-82.0,,,-83.0,,,,,,,,,,,,,,,,,-92.0,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5907926754430206,-5.662575875395301,2.262891896487967
-48.0,-76.0,-48,-52.0,-62.0,-82.0,-48.0,-64.0,-58.0,-50.0,-50.0,-26.0,-50.0,-64.0,-60.0,,-75.0,-42.0,-41.0,-71.0,-79.0,,-41.0,-79.0,-79.0,,-30.0,-63.0,-61.0,-95.0,-74.0,-61.0,,,,-61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.331931978237636,-2.8626596700594624,5.993303962216146
-55.0,,-41,-42.0,,-85.0,-55.0,-79.0,-71.0,-63.0,-63.0,-56.0,-63.0,-79.0,-55.0,,,-66.0,-66.0,,,,-66.0,,,,,-71.0,,,-71.0,-90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.10607324120438,-2.035109848072137,0.9654392369093387
-59.0,,-54,-57.0,-74.0,-84.0,-59.0,-76.0,-65.0,-67.0,,-45.0,-68.0,-76.0,-63.0,,,-68.0,-68.0,,,,-68.0,,,,-48.0,-70.0,-73.0,,,-78.0,,,,,,,-89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.724894096119361,-4.844348199368684,0.8015442892182505
-40.0,,-54,-60.0,,-92.0,-40.0,-61.0,-55.0,-48.0,-48.0,-32.0,-48.0,-61.0,-57.0,-77.0,,-51.0,-51.0,-66.0,-81.0,-67.0,-51.0,-85.0,-85.0,,-35.0,-51.0,-63.0,-92.0,-72.0,,,,,-63.0,-92.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.77630916418263,-1.953300260723319,2.918629480477916
-44.0,,-56,-52.0,-66.0,-85.0,-44.0,-65.0,-59.0,-46.0,-46.0,-40.0,-46.0,-65.0,-61.0,,,-42.0,-42.0,-65.0,,-66.0,-42.0,-74.0,-73.0,,,-57.0,,,-80.0,-78.0,,,,-63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.792570989793139,-1.487590265429309,6.219950513264935
-60.0,,-73,-64.0,,,-60.0,-77.0,-67.0,-60.0,-61.0,-61.0,-61.0,-77.0,,,,,,-70.0,,-71.0,,-71.0,-71.0,,-61.0,-68.0,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,,,,,2.3859703942229924,8.004709078695074,3.388018957752632
-60.0,,-39,-47.0,-74.0,-80.0,-60.0,-79.0,-67.0,-62.0,,-50.0,-62.0,-78.0,-54.0,,-83.0,,,,-83.0,-82.0,,,,,-52.0,-62.0,-72.0,,,,,,,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1407427911862067,-2.113544615118664,2.732164194840457
-62.0,-79.0,-48,-44.0,,-95.0,-61.0,-82.0,,-59.0,-58.0,-64.0,-58.0,-82.0,-41.0,,,-62.0,-62.0,,,,-62.0,-93.0,-94.0,,-56.0,,,,,,,,,-73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.591665814025593,0.9672509012598568,1.3058452696893428
-76.0,-67.0,-61,-67.0,,,-75.0,-91.0,,,,-70.0,,-91.0,-55.0,,-86.0,-76.0,-76.0,,-89.0,-75.0,-76.0,-85.0,-85.0,-68.0,-66.0,,-91.0,,,-94.0,-81.0,,,,,,,,,-91.0,,,,,,,,,,,,-97.0,,,,,,,,,,,,,,,,,,,,,,,,,-2.026292334458684,4.918326470840337,1.719884655237775
-51.0,,-41,-39.0,-82.0,-81.0,-51.0,-77.0,-68.0,-57.0,-57.0,-56.0,-57.0,-77.0,-47.0,-88.0,-89.0,,,,,-75.0,,-89.0,-88.0,-85.0,-54.0,-66.0,,,,-82.0,,,,-82.0,,,,,,,,,,,-92.0,,,,,,,,,,,,,,,,-94.0,,,,,,,,,,,,,,,,-1.1101589669398968,1.328027205527693,4.443521153205849
-51.0,,-56,-63.0,-66.0,,-51.0,-70.0,-62.0,-51.0,-51.0,-52.0,-51.0,-70.0,-64.0,,,-50.0,-50.0,-63.0,,-63.0,-50.0,-76.0,-76.0,,-48.0,-58.0,-66.0,,,,,,,-66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3917742505949526,5.541187124622234,1.6236622368541471
-61.0,,-41,-57.0,-71.0,-78.0,-61.0,-80.0,-71.0,-57.0,-57.0,-55.0,-56.0,-80.0,-57.0,-86.0,,-71.0,-71.0,,,-78.0,-71.0,,,,-51.0,-73.0,,,,-77.0,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.2751274386426816,-2.085581672625169,1.94815475735341
-41.0,,-41,-46.0,-68.0,-89.0,-42.0,-65.0,-53.0,,,-28.0,,-65.0,-62.0,,,-53.0,-54.0,-65.0,,-65.0,-53.0,-84.0,-82.0,,-32.0,-49.0,,-92.0,,-68.0,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7092435026370465,-0.9396693837095598,1.4952445183018923
-52.0,,-38,-37.0,,-87.0,-52.0,-74.0,-65.0,-60.0,-62.0,-50.0,-63.0,-74.0,-43.0,-87.0,,-59.0,-59.0,,,,-59.0,,-86.0,,-52.0,-65.0,-71.0,,,-82.0,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.571813935254664,1.43310757587103,4.910418043486953
-69.0,,-62,-65.0,-85.0,-94.0,-69.0,-86.0,,,-69.0,-68.0,,-86.0,-51.0,-90.0,,,,-76.0,,-77.0,,-79.0,-79.0,,-68.0,,-85.0,,,,-85.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.857795734121251,5.132468261975264,-0.8209534370897397
-75.0,-64.0,-62,-62.0,,,-75.0,-91.0,,,,-68.0,-75.0,-90.0,-47.0,,,-76.0,-75.0,,-96.0,,-76.0,-86.0,-86.0,-63.0,-68.0,,-83.0,,,,-88.0,,,-83.0,,,,,,,-80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0017093609423512,6.311300245686593,3.2636484977898657
-60.0,,-38,-47.0,-75.0,-79.0,-60.0,-78.0,-67.0,,-61.0,-49.0,-61.0,-78.0,-55.0,,-83.0,,,-84.0,,-84.0,,,,,-51.0,-62.0,,,,-86.0,,,,-74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1407427911862067,-2.113544615118664,2.732164194840457
-56.0,,-41,-54.0,-78.0,-80.0,-56.0,-75.0,,,-60.0,-47.0,-61.0,-75.0,-63.0,,,-62.0,-62.0,,-91.0,,-61.0,,,,-48.0,,,,,-76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0929622141607901,-4.962779872443984,1.680613505807586
-66.0,-79.0,-32,-43.0,-83.0,-92.0,-66.0,-79.0,-66.0,-65.0,,-61.0,-65.0,-79.0,-38.0,-87.0,-83.0,-62.0,-62.0,,-85.0,,-62.0,-95.0,-94.0,,-60.0,,-82.0,,,,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.402515464669073,0.7651838627404793,1.474290974007078
-56.0,,-39,-43.0,,-84.0,-55.0,-80.0,-71.0,-61.0,,,-63.0,-79.0,,,,-66.0,-66.0,,,,-66.0,,,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.10607324120438,-2.035109848072137,0.9654392369093387
-46.0,,-52,-57.0,-64.0,-89.0,-45.0,-69.0,-59.0,-40.0,-40.0,-39.0,-40.0,-69.0,-65.0,,,-44.0,-44.0,,,-65.0,-44.0,-70.0,-69.0,,-39.0,-61.0,,,,-68.0,-81.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.552067942362116,0.1429765306049081,0.0182617621420181
-51.0,-70.0,-53,-61.0,-75.0,-91.0,-51.0,-70.0,-65.0,-59.0,-60.0,-50.0,-60.0,-69.0,-55.0,,,-45.0,-45.0,-56.0,,-56.0,-44.0,-77.0,-77.0,-72.0,,-62.0,,,,-78.0,-83.0,-85.0,,-75.0,,-96.0,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.42901225917396,3.2742142942868417,3.148899288887179
-80.0,-78.0,-61,-62.0,,-94.0,-80.0,-92.0,,,,-65.0,-68.0,-92.0,-53.0,,,-78.0,-78.0,,-96.0,-73.0,-79.0,-82.0,-81.0,-78.0,-66.0,-75.0,,,,,,,,-91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.328564734227297,5.75148845329782,0.633602994984014
-54.0,,-53,-62.0,-65.0,-96.0,-54.0,-69.0,-57.0,-40.0,-39.0,-39.0,-40.0,-69.0,-67.0,-77.0,-77.0,-44.0,-44.0,-70.0,-77.0,-65.0,-43.0,-70.0,-70.0,,-40.0,-66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.515069314457977,0.8887169827446488,0.0315415690446226
-61.0,-80.0,-38,-47.0,-73.0,-81.0,-60.0,-75.0,-63.0,-52.0,-52.0,-50.0,-52.0,-75.0,-46.0,-88.0,-87.0,-60.0,-60.0,-68.0,-88.0,-69.0,-60.0,-96.0,-94.0,,-44.0,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1054551398137988,-0.9311709112020414,1.5148812350091978
-56.0,,-54,-68.0,-80.0,-74.0,-56.0,-74.0,,-67.0,-67.0,-48.0,,-74.0,,,-90.0,-72.0,-71.0,,-91.0,,-71.0,,,,-48.0,,,,,,,,,-81.0,,,,,,,,,,,,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5907926754430206,-5.662575875395301,2.262891896487967
-44.0,,-58,-61.0,,-77.0,-44.0,-67.0,,,,-46.0,-66.0,-67.0,-63.0,-89.0,-89.0,-63.0,-63.0,-85.0,-89.0,,-63.0,,-91.0,,-46.0,-65.0,,,-71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5575726122812991,-5.40025517215614,-1.8232116319224247
-48.0,,-56,-57.0,-68.0,-97.0,-48.0,-73.0,,-40.0,-40.0,-42.0,-40.0,-73.0,-62.0,-85.0,-85.0,-50.0,-50.0,-61.0,-85.0,-61.0,-50.0,-79.0,-79.0,,-45.0,-60.0,-68.0,,,-80.0,,,,-68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.365452102999732,2.64283697307094,0.0500423125893914
-60.0,,-38,-46.0,-70.0,-81.0,-60.0,-76.0,-63.0,-52.0,-52.0,-50.0,-52.0,-76.0,-47.0,,,-60.0,-60.0,-70.0,,-70.0,-60.0,,,,-44.0,-69.0,,,,,,,,,,,-88.0,,,,,,,,,,,,,,-96.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.1054551398137988,-0.9311709112020414,1.5148812350091978
-63.0,,-44,-58.0,-72.0,-87.0,-63.0,-79.0,-67.0,-63.0,-63.0,-49.0,-63.0,-79.0,-62.0,,,-71.0,-71.0,,,,-71.0,,,,,-68.0,,,,,,,,-72.0,,,,-94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.742570045628169,-2.08936749082334,1.503027644730336
-44.0,,-58,-53.0,-67.0,-96.0,-44.0,-70.0,,-42.0,-42.0,-37.0,-42.0,-70.0,-59.0,,-81.0,-48.0,-48.0,-53.0,-82.0,-54.0,-48.0,-73.0,-73.0,,-41.0,,-63.0,,,-65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.57952216805532,-0.2417441992268699,0.0015069546966858
-51.0,,-40,-44.0,-76.0,-82.0,-51.0,-70.0,-71.0,-63.0,-63.0,-52.0,-63.0,-70.0,-48.0,,-94.0,-59.0,-59.0,-75.0,-92.0,-73.0,-59.0,-92.0,-94.0,,-52.0,-71.0,-75.0,,,-77.0,,,,-75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8276965067073397,-0.1156602091905457,3.615676835329488
-76.0,,-60,-66.0,,,-76.0,-89.0,,,-65.0,-70.0,,-89.0,-47.0,,,-79.0,-79.0,-71.0,,-69.0,-79.0,-89.0,-89.0,,-64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.025716676499621,4.663910889730939,2.3267684745619466
-73.0,,-58,-69.0,,-92.0,-73.0,-85.0,,,,-76.0,,-85.0,,,-94.0,-66.0,-66.0,-68.0,,,-65.0,-81.0,-81.0,,-72.0,,,,-80.0,,-87.0,,,,,,,,,,-86.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.004387660159272,5.399200942528485,-1.079844285035861
-58.0,,-49,-53.0,,-79.0,-58.0,-76.0,-71.0,-63.0,-62.0,-54.0,,-76.0,-50.0,,,-59.0,-60.0,-80.0,-91.0,-81.0,-59.0,,-86.0,,-57.0,-69.0,-82.0,,-74.0,-87.0,,,,-82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.6803239872100448,-1.9466838859476008,-0.0341111465920271
