ba:fb:e4:c5:b0:a5,ba:fb:e4:c4:af:1a,d8:0d:17:2c:67:7f,d8:0d:17:2c:67:7e,24:81:3b:50:c9:e2,54:48:e6:a3:93:23,b4:fb:e4:c5:b0:a5,ba:fb:e4:c5:bd:e3,b4:fb:e4:c4:bd:e3,24:81:3b:2b:99:e1,24:81:3b:2b:99:e2,ba:fb:e4:c4:b0:a5,24:81:3b:2b:99:e0,b4:fb:e4:c5:bd:e3,c4:e9:84:fa:fe:d2,24:81:3b:52:ec:61,24:81:3b:52:ec:62,24:81:3b:2b:99:ee,24:81:3b:2b:99:ef,2c:56:dc:da:3e:90,24:81:3b:52:ec:60,2c:56:dc:da:3e:91,24:81:3b:2b:99:ed,2c:56:dc:da:3e:94,2c:56:dc:da:3e:95,b4:fb:e4:c4:af:1a,b4:fb:e4:c4:b0:a5,ba:fb:e4:c4:bd:e3,24:81:3b:50:c9:e0,54:48:e6:a3:93:22,14:dd:a9:97:a4:f8,ba:fb:e4:c4:d2:73,24:81:3b:50:c9:e1,x,y
-43,,-55,-53,,-91.0,-43,-63.0,,,,,,-63.0,-58.0,,,-44.0,-44.0,-71.0,,-69.0,-44.0,-71.0,-71.0,,,,,-85.0,,,,2.98,2.79
-56,-55.0,-58,-67,-66.0,,-57,-75.0,,-58.0,-59.0,-44.0,-57.0,-75.0,-64.0,,,-54.0,-54.0,-56.0,,-56.0,-54.0,-66.0,-66.0,-57.0,-50.0,,-65.0,-81.0,,-80.0,-65.0,2.98,2.79
-59,-56.0,-59,-65,-66.0,,-59,-73.0,-66.0,-52.0,-52.0,-45.0,-52.0,-73.0,-63.0,,,-53.0,-53.0,-64.0,,-61.0,-53.0,-69.0,-69.0,-58.0,-49.0,-70.0,-67.0,-79.0,-78.0,-81.0,-67.0,2.98,2.79
-53,-61.0,-51,-60,-66.0,-94.0,-54,-69.0,-63.0,-47.0,-43.0,-45.0,-42.0,-69.0,-57.0,,,,,-62.0,,-63.0,,-69.0,-69.0,-65.0,-46.0,-62.0,-70.0,-86.0,,-81.0,-66.0,3.2,4.15
-50,-67.0,-49,-61,,-94.0,-49,-71.0,-63.0,-46.0,-46.0,-46.0,-46.0,-71.0,-56.0,-81.0,-81.0,-45.0,-46.0,-64.0,-81.0,-63.0,-45.0,-67.0,-67.0,-68.0,-45.0,-64.0,,,,,,3.2,4.15
-52,,-63,-63,-73.0,,-52,-76.0,,,,,,-76.0,,,,-53.0,-53.0,-61.0,,-61.0,-53.0,-68.0,-68.0,,,,-73.0,-91.0,,,-73.0,3.2,4.15
-51,-61.0,-66,-65,,,-51,-78.0,-71.0,-56.0,-56.0,-55.0,-61.0,-77.0,-72.0,,,-54.0,-54.0,-59.0,,-59.0,-54.0,-65.0,-65.0,-60.0,,-68.0,,,-82.0,-80.0,-74.0,3.2,4.15
-49,-61.0,-56,-71,-77.0,,-49,-73.0,-67.0,-49.0,-49.0,-50.0,-48.0,-73.0,-63.0,,,-48.0,-48.0,-66.0,,-67.0,-47.0,-69.0,-69.0,-59.0,-49.0,-63.0,-76.0,-86.0,,-80.0,-77.0,3.2,4.15
-49,,-53,-63,,-82.0,-49,-67.0,-64.0,-74.0,,-42.0,-75.0,-67.0,-63.0,,,-66.0,-66.0,,,,-66.0,-94.0,,,-47.0,-65.0,,,,,-88.0,-0.76,-5.2
-49,-66.0,-59,-61,-79.0,,-49,-72.0,,-49.0,,-52.0,-50.0,-72.0,-64.0,,,-46.0,-45.0,-62.0,,-61.0,-45.0,-65.0,-65.0,,-49.0,-62.0,,,-79.0,,-79.0,3.19,5.97
-50,-63.0,-57,-58,-78.0,,-50,-71.0,-68.0,-51.0,-51.0,-51.0,-51.0,-71.0,-62.0,,,-47.0,-47.0,-61.0,,-60.0,-47.0,-66.0,-66.0,-61.0,-49.0,-63.0,-78.0,,-81.0,-84.0,,3.19,5.97
-59,-53.0,-66,-67,-76.0,,-59,-80.0,-76.0,-60.0,-61.0,-57.0,-60.0,-81.0,-69.0,,,-60.0,-60.0,-59.0,,-58.0,-60.0,-64.0,-64.0,,-51.0,-75.0,-75.0,,,-84.0,-76.0,3.19,5.97
-65,-50.0,-65,-74,,,-64,-84.0,,-57.0,-57.0,-55.0,-57.0,-84.0,-67.0,,,-58.0,-58.0,-61.0,,-61.0,-57.0,-66.0,-66.0,-51.0,-52.0,-76.0,,,,,-79.0,3.19,5.97
-51,-55.0,-65,-66,-73.0,,-50,-73.0,-67.0,,-71.0,-61.0,-71.0,-72.0,-66.0,,,-51.0,-50.0,-65.0,,-66.0,-51.0,-70.0,-70.0,-57.0,-53.0,-67.0,-72.0,,-81.0,,-73.0,3.18,7.47
-52,-54.0,-67,-67,,,-52,-73.0,,,-60.0,-59.0,-60.0,-73.0,-67.0,,,-51.0,-50.0,-68.0,,,-50.0,-70.0,-70.0,-57.0,-53.0,-68.0,-71.0,,,-74.0,-74.0,3.18,7.47
-60,-53.0,-68,-77,-80.0,,-60,-91.0,,-70.0,-70.0,-57.0,-68.0,-90.0,-64.0,,,-61.0,-60.0,-62.0,,-62.0,-61.0,-61.0,-61.0,-54.0,-58.0,-72.0,-79.0,,,-76.0,-80.0,3.18,7.47
-50,,-56,-61,,-94.0,-50,-66.0,-63.0,-82.0,-82.0,-41.0,,-66.0,-63.0,,,-67.0,-67.0,,-87.0,,-67.0,,,,-48.0,-63.0,,,-64.0,,,-0.76,-5.2
-61,-52.0,-63,-77,,,-61,-85.0,-73.0,,,-61.0,-64.0,-85.0,,,,-61.0,-62.0,,,,-61.0,-62.0,-62.0,-52.0,-61.0,,-78.0,,-80.0,-75.0,-78.0,3.18,7.47
-55,,-52,-59,,-74.0,-55,-72.0,,,,-54.0,,-73.0,-60.0,,,,,-89.0,,,,,,,-52.0,,,-62.0,-79.0,,-82.0,-1.67,-5.21
-52,-64.0,-65,-71,,,-52,-78.0,-70.0,-55.0,,-53.0,-54.0,-78.0,-74.0,,,-51.0,-51.0,-54.0,,-56.0,-51.0,-67.0,-66.0,-61.0,-55.0,-69.0,-79.0,,,,,2.69,9.12
-46,,-54,-56,,,-46,-68.0,,,,-48.0,,-68.0,-66.0,,,,,,,-81.0,,-86.0,-86.0,,-47.0,,,-67.0,-74.0,,,0.57,-5.33
-52,,-66,-70,,,-52,-76.0,,,,-52.0,,-76.0,-77.0,,,-51.0,-50.0,,,,-51.0,-67.0,-67.0,,-56.0,,,,-82.0,-74.0,,2.69,9.12
-65,-46.0,-70,-79,,,-65,-89.0,,-61.0,-61.0,-67.0,-61.0,-89.0,,,,-65.0,-65.0,-65.0,,-64.0,-65.0,-62.0,-63.0,-46.0,-66.0,,,,,,,2.69,9.12
-63,-46.0,-63,-81,-79.0,,-63,-89.0,,-61.0,,,-61.0,-89.0,-76.0,,,-62.0,-62.0,-69.0,,-69.0,-62.0,-61.0,-61.0,-46.0,,,,,,,,2.69,9.12
-65,-65.0,-58,-65,,,-65,-87.0,,-61.0,-61.0,,-61.0,-87.0,-76.0,,,,,-69.0,,-69.0,,-73.0,-72.0,-68.0,,-85.0,,,,,,0.72,5.5
-44,,-49,-58,,-79.0,-44,-68.0,,,,-48.0,,-68.0,-62.0,,,,,,,,,,,,-45.0,-66.0,-84.0,-67.0,-77.0,,,0.57,-5.33
-66,-66.0,-58,-62,,,-66,-82.0,-84.0,-62.0,-61.0,-63.0,-62.0,-83.0,-66.0,,,-59.0,-59.0,-68.0,,-68.0,-59.0,-73.0,-73.0,,-61.0,-85.0,-89.0,-88.0,,,-89.0,0.72,5.5
-74,-69.0,-54,-63,,,-73,-93.0,-82.0,-72.0,-72.0,-68.0,-72.0,-93.0,-56.0,,,-73.0,-73.0,,-91.0,,-73.0,-83.0,-83.0,-72.0,-71.0,-81.0,,,,-85.0,,0.72,5.5
-73,-69.0,-65,-63,-77.0,,-73,-92.0,,-69.0,-69.0,,-69.0,-91.0,-53.0,,,-79.0,-79.0,-71.0,,-71.0,-79.0,-86.0,-86.0,-72.0,,,-77.0,-93.0,,,-77.0,0.72,5.5
-71,-68.0,-63,-61,-77.0,-96.0,-70,-87.0,,-64.0,-64.0,-62.0,-63.0,-86.0,-56.0,,,,,,,,,,,-70.0,-66.0,,,,,,,-0.06,6.23
-43,,-53,-58,,-78.0,-44,-67.0,,,,-46.0,,-67.0,,,,,,,,,,-88.0,-87.0,,-46.0,,,-70.0,,,,0.57,-5.33
-70,-64.0,-64,-61,-77.0,,-70,-87.0,,-64.0,-63.0,-61.0,-64.0,-87.0,-60.0,,,-64.0,-64.0,-68.0,,-68.0,-63.0,-85.0,-85.0,-68.0,,-84.0,-77.0,,,,-77.0,-0.06,6.23
-75,,-67,-64,-95.0,,-75,-90.0,,,,-72.0,,-89.0,-63.0,,,-75.0,-74.0,,,,-74.0,,,,-73.0,,-94.0,,,,-96.0,-0.06,6.23
-44,,-53,-58,-85.0,-78.0,-44,-67.0,,,,-46.0,,-67.0,,,,-59.0,-60.0,,,,-59.0,,,,-45.0,,-86.0,-69.0,,,-86.0,0.57,-5.33
-78,,-68,-66,,,-77,-93.0,-82.0,-73.0,,-67.0,-73.0,,-66.0,,,-74.0,-74.0,-76.0,,-76.0,-74.0,,,-73.0,-71.0,,-96.0,-88.0,,,,-0.06,6.23
-71,,-53,-58,-81.0,-94.0,-71,-86.0,,,,,,-86.0,-53.0,,,-65.0,-65.0,-71.0,,-72.0,-66.0,-77.0,-76.0,,,,-81.0,-84.0,,,-81.0,-0.93,5.35
-71,-73.0,-53,-56,,-97.0,-70,-86.0,,,-72.0,-62.0,-72.0,-86.0,-51.0,,,-64.0,-65.0,-72.0,,-71.0,-64.0,-76.0,-76.0,-71.0,-67.0,,,-84.0,,,,-0.93,5.35
-75,,-56,-62,-85.0,,-76,,,,,,,,-47.0,,,-75.0,-74.0,-81.0,,-81.0,-74.0,,,,,,-85.0,-80.0,,,-85.0,-0.93,5.35
-39,-68.0,-59,-61,,-80.0,-39,-60.0,-53.0,-50.0,-49.0,-36.0,-48.0,-60.0,-61.0,,,,,-71.0,,,,,,-69.0,,-52.0,-78.0,-70.0,-69.0,,-80.0,2.3,-5.84
-78,-68.0,-51,-66,-87.0,,-78,,,-69.0,-64.0,-64.0,-69.0,,-49.0,,,-75.0,-75.0,,,,-76.0,-86.0,-85.0,-68.0,-62.0,-83.0,-88.0,,,-89.0,,-0.93,5.35
-58,,-57,-57,-79.0,-72.0,-58,-73.0,,,,-49.0,,-73.0,-60.0,,,,,,-89.0,,,,,,,,-80.0,-66.0,,,,-1.67,-5.21
-51,,-59,-58,-89.0,,-51,-67.0,,,-65.0,-45.0,,-67.0,,,,,,,,-89.0,,,,,-50.0,,-89.0,,,,-89.0,-0.76,-5.2
-69,-75.0,-55,-54,-86.0,,-69,-89.0,-80.0,-80.0,,-65.0,-80.0,-89.0,-40.0,,,,,-77.0,-89.0,-77.0,,-79.0,-79.0,-74.0,,-80.0,-86.0,-78.0,,,-86.0,-2.21,5.31
-45,-68.0,-56,-60,,-84.0,-45,-59.0,-53.0,-45.0,,-38.0,-46.0,-59.0,-63.0,-86.0,,-51.0,-51.0,-73.0,,,-51.0,-81.0,-81.0,,-35.0,-52.0,,-67.0,-78.0,,-81.0,2.3,-5.84
-68,-74.0,-55,-59,,-93.0,-68,-88.0,,-79.0,,-70.0,,-89.0,,,,-66.0,-66.0,-77.0,,-78.0,-66.0,-80.0,-80.0,-73.0,-67.0,,,-88.0,,,,-2.21,5.31
-81,-76.0,-59,-59,-88.0,,-81,-93.0,-85.0,-77.0,-78.0,-70.0,-78.0,-92.0,-46.0,,,-78.0,-78.0,-87.0,,-87.0,-78.0,,,-76.0,-71.0,-87.0,-88.0,-79.0,,,,-2.21,5.31
-78,-79.0,-63,-58,-89.0,,-78,-94.0,,,,-68.0,,-94.0,-44.0,,-90.0,-73.0,-73.0,-81.0,,,-74.0,-88.0,-88.0,-78.0,-70.0,,-89.0,-80.0,,,-89.0,-2.21,5.31
-75,,-66,-59,-80.0,,-74,-91.0,,,,,,-90.0,-53.0,,,-72.0,-72.0,-74.0,,-75.0,-72.0,-78.0,-78.0,,,,-85.0,-83.0,,,-85.0,-2.72,6.7
-73,,-59,-64,-81.0,-95.0,-73,,,,,-68.0,,,-56.0,,,-71.0,-71.0,,,,-71.0,-78.0,-78.0,,-71.0,,-84.0,,,,,-2.72,6.7
-83,-74.0,-72,-70,-92.0,,-83,,,-69.0,-69.0,,-69.0,,,,,-74.0,-74.0,-77.0,,-76.0,-74.0,,,-74.0,,,-92.0,-86.0,,,,-2.72,6.7
-80,-73.0,-68,-72,-84.0,,-80,-89.0,,,,-75.0,,-91.0,-57.0,,,-79.0,-79.0,-77.0,,-77.0,-78.0,,,-72.0,-76.0,,-81.0,,,,-84.0,-2.72,6.7
-44,,-55,-60,,-85.0,-44,-59.0,-53.0,-45.0,-45.0,,-45.0,-59.0,-64.0,,,-51.0,-51.0,-73.0,,,-51.0,,,,,-51.0,,-65.0,,,-74.0,2.3,-5.84
-67,,-53,-54,,-91.0,-68,-94.0,-78.0,-67.0,-67.0,-63.0,-67.0,,-55.0,-91.0,,,,-82.0,-91.0,,,,,,-65.0,-76.0,-93.0,-79.0,,,,-1.14,3.94
-68,-66.0,-50,-53,,,-68,-91.0,-79.0,,-62.0,,,,,,,,,-91.0,,,,-88.0,-88.0,,,,-88.0,-80.0,,,-89.0,-1.14,3.94
-74,-67.0,-51,-63,-88.0,,-74,-88.0,,-63.0,-61.0,-71.0,-64.0,-88.0,,,,,,-82.0,,-80.0,,-84.0,-84.0,-71.0,,,,,,,-88.0,-1.14,3.94
-74,,-51,-62,,,-74,-88.0,,-65.0,-65.0,-71.0,-65.0,-88.0,-58.0,,,,,,,,,,,-70.0,-70.0,,,,,,,-1.14,3.94
-39,,-56,-62,,-82.0,-39,-58.0,,,,-40.0,,-59.0,-58.0,,,-48.0,-48.0,,,-71.0,-48.0,-76.0,-77.0,,-40.0,,-77.0,-65.0,-73.0,,-75.0,2.3,-5.84
-66,,-52,-55,,,-66,,-78.0,-62.0,,-68.0,-62.0,,-59.0,,,,,,,,,-89.0,-89.0,,-68.0,-74.0,-82.0,,,,,0.69,3.96
-68,,-51,-55,-80.0,,-68,-90.0,,,,-73.0,,-89.0,-64.0,,,-67.0,-67.0,,,,-67.0,,,,-70.0,,-82.0,,,,-80.0,0.69,3.96
-70,-73.0,-50,-51,-87.0,,-70,-92.0,,-62.0,-62.0,-72.0,-62.0,-92.0,-62.0,,,-69.0,-70.0,-77.0,,-79.0,-69.0,,,-75.0,-73.0,-78.0,-86.0,-83.0,,,,0.69,3.96
-74,-72.0,-51,-51,-84.0,,-74,,,-65.0,-65.0,-75.0,-65.0,,-62.0,,,-70.0,-70.0,-76.0,,-76.0,-70.0,-91.0,-91.0,,-72.0,,-85.0,,,,-85.0,0.69,3.96
-76,-73.0,-53,-53,,,-77,-89.0,,-72.0,,-70.0,-72.0,-89.0,-41.0,,,,,,,,,,,-74.0,-66.0,,,,,,,-3.35,3.84
-73,-76.0,-53,-53,,,-73,-87.0,,-74.0,-75.0,-68.0,-74.0,-87.0,-40.0,,,,,-77.0,-88.0,,,,,,-65.0,-82.0,,,,,-96.0,-3.35,3.84
-75,,-59,-59,-85.0,,-74,-90.0,-80.0,-68.0,-69.0,-66.0,-68.0,-91.0,-42.0,,,-73.0,-73.0,-80.0,,,-73.0,-89.0,-90.0,,-69.0,-77.0,,,,,,-3.35,3.84
-77,-75.0,-58,-58,-82.0,,-77,,,,,,,,-45.0,,,-74.0,-74.0,-82.0,,-81.0,-73.0,-88.0,-87.0,-73.0,-67.0,,,,,,-82.0,-3.35,3.84
-49,,-46,-48,-75.0,-86.0,-49,-70.0,,-57.0,-57.0,-53.0,-57.0,-70.0,-58.0,,,,,-77.0,,-77.0,,,,,-50.0,,-74.0,-74.0,-80.0,,-74.0,0.74,-1.04
-47,,-45,-47,-73.0,-79.0,-48,-72.0,-70.0,-55.0,,-55.0,-55.0,-72.0,-57.0,,,,,-76.0,-89.0,-71.0,,,,,,,,-72.0,,,,0.74,-1.04
-65,,-43,-40,,-81.0,-65,-77.0,,-68.0,-68.0,-54.0,-68.0,-77.0,,,-85.0,,,,-85.0,,,,,,-56.0,-72.0,-75.0,-79.0,,,-76.0,0.74,-1.04
-39,,-50,-57,-71.0,-90.0,-39,-60.0,,,,-36.0,,-58.0,-61.0,,,-50.0,-50.0,-63.0,-84.0,-63.0,-49.0,-81.0,-81.0,-69.0,-34.0,-50.0,,,,,-73.0,3.39,-4.68
-64,-82.0,-46,-43,-73.0,-80.0,-63,-77.0,,-64.0,-64.0,-55.0,-64.0,-77.0,,-89.0,,,,,,-80.0,,,,,-57.0,,,-76.0,,,,0.74,-1.04
-65,,-44,-51,,-89.0,-65,-77.0,-75.0,-68.0,-69.0,-59.0,-69.0,-77.0,-48.0,,,-74.0,-74.0,,-82.0,,-74.0,,,,-58.0,,,,,,,-2.5,-1.97
-61,,-48,-50,,-81.0,-61,-77.0,-75.0,-68.0,-68.0,-62.0,-68.0,-78.0,-53.0,,-84.0,-68.0,-68.0,,,,-68.0,,,,-59.0,-73.0,-75.0,,,,,-2.5,-1.97
-59,,-52,-47,-73.0,-88.0,-60,-78.0,-68.0,-64.0,-64.0,-55.0,-64.0,-79.0,-51.0,,,-67.0,-67.0,-80.0,,-80.0,-67.0,-91.0,-91.0,,-56.0,-71.0,,-70.0,,,,-2.5,-1.97
-40,-72.0,-57,-57,,,-40,-61.0,-52.0,-48.0,-49.0,-37.0,-48.0,-61.0,-66.0,,,-48.0,-48.0,,-81.0,,-48.0,-77.0,-77.0,,-37.0,-49.0,,,-65.0,,,3.39,-4.68
-60,,-47,-48,,-84.0,-60,-77.0,-68.0,-67.0,-66.0,-54.0,-67.0,-76.0,-51.0,,,-68.0,-68.0,,,,-69.0,-89.0,-89.0,,-53.0,-68.0,,,-81.0,,,-2.5,-1.97
-53,,-39,-36,-70.0,-77.0,-53,-77.0,-73.0,-68.0,-68.0,-52.0,,-77.0,-48.0,,,,,,,-85.0,,,,,-56.0,-75.0,,-77.0,,,-71.0,-0.82,-2.12
-55,,-48,-40,,-78.0,-55,-75.0,-69.0,-77.0,,-53.0,-74.0,-75.0,-43.0,,-82.0,,,,-84.0,,,,,,,-70.0,-71.0,-79.0,,,-71.0,-0.82,-2.12
-55,,-48,-40,,-78.0,-55,-75.0,-69.0,-77.0,,-53.0,-74.0,-75.0,-43.0,,-82.0,,,,-84.0,,,,,,,-70.0,-71.0,-79.0,,,-71.0,-0.82,-2.12
-64,,-49,-47,,-88.0,-64,-78.0,,-68.0,,-68.0,-68.0,-78.0,-45.0,-90.0,,,,,-90.0,,,-96.0,,,-60.0,,-69.0,-77.0,-88.0,,-70.0,-0.82,-2.12
-66,,-39,-45,-74.0,-89.0,-66,-81.0,-70.0,-63.0,,-56.0,,-82.0,-57.0,-82.0,-85.0,,,-82.0,-85.0,,,,,,-59.0,,,-80.0,,,,-0.82,-2.12
-67,,-42,-40,-73.0,-82.0,-67,-77.0,,-69.0,-68.0,-56.0,-68.0,-77.0,-44.0,,,,,-73.0,-82.0,-70.0,,-85.0,-85.0,,-57.0,,,-72.0,,-89.0,-72.0,0.26,1.47
-68,,-42,-38,,-80.0,-67,-77.0,-71.0,-65.0,-65.0,-56.0,-65.0,-77.0,-43.0,-83.0,,-60.0,-61.0,-72.0,-82.0,,-61.0,-86.0,-86.0,,-57.0,-71.0,,-68.0,,,,0.26,1.47
-65,,-50,-36,-78.0,-81.0,-65,-83.0,,-66.0,-66.0,-56.0,-65.0,-83.0,-38.0,,,-63.0,-63.0,,,,-63.0,,,,-59.0,,-78.0,-76.0,-82.0,,,0.26,1.47
-65,,-50,-36,-78.0,-81.0,-65,-83.0,,-66.0,-66.0,-56.0,-65.0,-83.0,-38.0,,,-63.0,-63.0,,,,-63.0,,,,-59.0,,-78.0,-76.0,-82.0,,,0.26,1.47
-65,,-57,-36,-78.0,-81.0,-65,-82.0,-70.0,-64.0,-64.0,-52.0,-62.0,-82.0,,,,-64.0,-64.0,-90.0,,,-64.0,,,-80.0,-56.0,-67.0,,-75.0,,,-78.0,0.26,1.47
-56,-80.0,-52,-42,,-88.0,-56,-77.0,,-61.0,-60.0,-51.0,,-77.0,,,,,,,,-84.0,,,,,-53.0,-73.0,,,,,-84.0,-0.92,1.26
-36,,-64,-60,-74.0,-81.0,-36,-59.0,-52.0,-50.0,-50.0,-40.0,-50.0,-60.0,-60.0,,,-52.0,-52.0,-69.0,-86.0,-69.0,-52.0,-76.0,-76.0,,-39.0,,-74.0,,,,-74.0,3.39,-4.68
-54,,-59,-32,-82.0,-94.0,-54,-79.0,-72.0,,,,,-79.0,-38.0,,,,,-77.0,,,,-89.0,-88.0,,,,,,,,,-0.92,1.26
-65,,-46,-41,,-88.0,-65,-81.0,,,,,,-81.0,-33.0,-82.0,,,,-78.0,-82.0,,,,,,,,,-80.0,,,-77.0,-0.92,1.26
-38,,-52,-59,,-81.0,-38,-59.0,-57.0,-52.0,-52.0,,-52.0,-59.0,-59.0,,,,,-65.0,,-65.0,,-78.0,-77.0,,,-53.0,,,,,-65.0,3.28,-2.78
-65,,-46,-41,,-88.0,-65,-81.0,,,,,,-81.0,-33.0,-82.0,,,,-78.0,-82.0,,,,,,,,,-80.0,,,-77.0,-0.92,1.26
-40,,-52,-62,-69.0,-81.0,-40,-61.0,,-51.0,,-34.0,-52.0,-61.0,-56.0,,,,,,-76.0,,,-78.0,-76.0,,-33.0,-53.0,-69.0,,-65.0,,-69.0,3.28,-2.78
-54,,-45,-42,-73.0,-81.0,-54,-79.0,,,,,,-79.0,-41.0,,,,,,,,,-89.0,-89.0,,,,,,,,,-2.33,1.22
-54,,-45,-45,,-81.0,-55,-77.0,,,,-58.0,,-77.0,-46.0,-87.0,-86.0,,,,-87.0,,,,,,-58.0,,,-71.0,,,,-2.33,1.22
-60,,-40,-46,,-92.0,-60,-75.0,,,,-62.0,,-76.0,-38.0,,,,,,,-85.0,,,,,-62.0,,,-73.0,-88.0,,,-2.33,1.22
-45,,-52,-63,-68.0,,-45,-65.0,,,,-42.0,-61.0,-65.0,-63.0,,,-44.0,-44.0,-62.0,-81.0,-66.0,-44.0,-77.0,-77.0,,-34.0,-62.0,,,-66.0,,,3.28,-2.78
-60,,-40,-46,,-92.0,-60,-75.0,,,,-62.0,,-76.0,-38.0,,,,,,,-85.0,,,,,-62.0,,,-73.0,-88.0,,,-2.33,1.22
-61,,-44,-47,-88.0,-87.0,-61,-77.0,-73.0,-69.0,-66.0,-61.0,-68.0,-77.0,-42.0,-88.0,,-63.0,-63.0,,-89.0,-86.0,-62.0,,,,-63.0,-72.0,-87.0,-74.0,,,,-2.33,1.22
-42,-67.0,-53,-57,-74.0,,-42,-64.0,-58.0,-59.0,-60.0,-41.0,-58.0,-64.0,-62.0,-81.0,-79.0,-41.0,-41.0,-76.0,-81.0,-76.0,-41.0,-70.0,-70.0,-68.0,-35.0,-59.0,,,-68.0,,-74.0,3.28,-2.78
-40,-73.0,-48,-54,-78.0,-83.0,-40,-61.0,-58.0,-44.0,-43.0,,-44.0,-61.0,-62.0,,,-51.0,-50.0,,,,-51.0,-83.0,-82.0,-74.0,,-58.0,-78.0,-77.0,-68.0,,-77.0,3.33,-1.24
-41,,-53,-56,,-91.0,-40,-67.0,,-40.0,-43.0,-39.0,-40.0,-67.0,-63.0,,-79.0,-48.0,-48.0,-68.0,-80.0,-68.0,-48.0,-80.0,-80.0,,-35.0,,-64.0,,,,-64.0,3.33,-1.24
-45,-72.0,-51,-57,,-92.0,-45,-76.0,,-47.0,-47.0,,-47.0,-77.0,-57.0,,,-45.0,-45.0,-63.0,,-63.0,-45.0,-70.0,-70.0,,,,-65.0,-79.0,,,-65.0,3.33,-1.24
-45,-72.0,-51,-57,,-92.0,-45,-76.0,,-47.0,-47.0,,-47.0,-77.0,-57.0,,,-45.0,-45.0,-63.0,,-63.0,-45.0,-70.0,-70.0,,,,-65.0,-79.0,,,-65.0,3.33,-1.24
-39,-72.0,-45,-55,,-94.0,-39,-66.0,,-39.0,-38.0,-45.0,-39.0,-66.0,-67.0,,,-47.0,-47.0,-70.0,,-69.0,-46.0,-72.0,-72.0,,-43.0,,,,-70.0,,-70.0,3.24,0.63
-43,,-55,-62,-70.0,-85.0,-43,-63.0,,-38.0,,-47.0,-38.0,-63.0,-61.0,,,-39.0,-39.0,-63.0,,-64.0,-39.0,-71.0,-71.0,,,-59.0,-70.0,-78.0,,,-69.0,3.24,0.63
-51,-63.0,-56,-55,-73.0,,-50,-70.0,,-40.0,,-48.0,,-70.0,,,,-40.0,-40.0,-58.0,-87.0,-60.0,-40.0,-57.0,-57.0,,-46.0,,-71.0,,,,-70.0,3.24,0.63
-53,,-60,-57,,-91.0,-52,-71.0,,,,-47.0,,-71.0,-65.0,,,-37.0,-37.0,-60.0,,-61.0,-36.0,-65.0,-64.0,,-47.0,,,-80.0,,,,3.24,0.63
-46,-71.0,-48,-51,,-91.0,-46,-68.0,-63.0,-38.0,-37.0,-51.0,-38.0,-67.0,-55.0,,,-39.0,-39.0,-62.0,,-62.0,-39.0,-68.0,-68.0,,-46.0,-62.0,-68.0,,-75.0,,,2.98,2.79
